neg-F3	neg-F4	neg-M1	neg-M2	pos-F3	pos-F4	pos-M1	pos-M2
ENSMUSG00000000001	5274	1340	2368	4339	6097	5063	4007	4248
ENSMUSG00000000003	0	0	0	0	0	0	0	0
ENSMUSG00000000028	203	84	88	102	234	136	116	172
ENSMUSG00000000031	5	0	21	1	0	0	0	0
ENSMUSG00000000037	20	0	0	29	32	0	13	8
ENSMUSG00000000049	5	7	7	3	0	17	13	18
ENSMUSG00000000056	430	176	203	343	406	168	248	330
ENSMUSG00000000058	1597	1057	1264	2380	543	1836	812	750
ENSMUSG00000000078	3242	3496	1814	3524	1882	2418	2634	1527
ENSMUSG00000000085	1212	354	731	1178	1184	879	915	907
ENSMUSG00000000088	2146	3032	2486	2022	2494	4799	3541	2453
ENSMUSG00000000093	378	65	305	482	24	1	6	1
ENSMUSG00000000094	0	0	0	0	0	1	0	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0
ENSMUSG00000000120	19	7	33	34	26	0	3	5
ENSMUSG00000000125	0	1	0	2	8	0	0	2
ENSMUSG00000000126	4	17	2	0	17	0	9	15
ENSMUSG00000000127	764	396	231	579	743	748	536	601
ENSMUSG00000000131	1797	236	695	1525	1763	1266	1742	1418
ENSMUSG00000000134	1974	482	1488	1796	1900	1751	1834	1411
ENSMUSG00000000142	78	50	46	78	77	49	44	38
ENSMUSG00000000148	1090	245	475	835	984	884	908	809
ENSMUSG00000000149	1985	353	1236	1870	2224	1380	1947	1473
ENSMUSG00000000154	101	50	79	77	76	169	97	202
ENSMUSG00000000157	5	1	2	0	7	10	7	4
ENSMUSG00000000159	1462	1502	1460	1562	1915	5639	4628	3086
ENSMUSG00000000167	254	253	209	302	259	374	244	225
ENSMUSG00000000168	4313	1426	2393	3346	4293	4079	4047	3287
ENSMUSG00000000171	10931	10986	10318	10475	10552	14801	12128	10084
ENSMUSG00000000182	1	0	0	1	2	0	0	0
ENSMUSG00000000183	0	0	0	0	0	0	0	1
ENSMUSG00000000184	58695	37294	36628	51851	57505	30016	19411	37993
ENSMUSG00000000194	2182	814	1272	1796	2342	2686	3872	2337
ENSMUSG00000000197	788	262	259	626	592	400	479	647
ENSMUSG00000000202	1253	537	954	1094	1460	2074	1834	1501
ENSMUSG00000000204	0	1	0	9	0	0	0	1
ENSMUSG00000000214	5006	2723	5589	4131	5587	18258	17331	8686
ENSMUSG00000000215	17216392	10553563	10465743	13770719	22095333	12911146	8075876	18256641
ENSMUSG00000000216	456	47	161	249	663	95	194	451
ENSMUSG00000000223	5	11	8	11	7	15	16	7
ENSMUSG00000000244	0	13	26	15	8	0	15	1
ENSMUSG00000000247	74	15	42	52	51	87	41	59
ENSMUSG00000000248	0	1	2	1	0	3	1	2
ENSMUSG00000000253	4227	2532	4069	4114	4440	4239	4471	4340
ENSMUSG00000000263	10	5	0	0	0	0	0	6
ENSMUSG00000000266	580	144	139	614	501	565	438	526
ENSMUSG00000000275	919	238	531	1105	812	879	720	920
ENSMUSG00000000276	628	199	173	546	738	573	460	479
ENSMUSG00000000278	5892	2570	3949	5050	6658	4041	5208	6307
ENSMUSG00000000282	315	97	187	297	226	296	264	191
ENSMUSG00000000290	6	1	21	39	26	0	22	10
ENSMUSG00000000295	314	435	420	434	451	741	444	363
